Designator,Mid X,Mid Y,Layer,Rotation
J3,99.44,-125.64,bottom,0
C1,112.05,-104.7,top,90
C2,111.75,-100.95,top,180
C3,139.15,-125.1,top,180
C4,138.8,-126.55,top,180
C14,134.24,-103.05,top,90
C15,137.92,-106.25,top,0
C16,133.14,-103.05,top,90
C17,135.35,-103.05,top,90
C23,117.3,-118.05,top,180
C29,117.85,-111.7,top,180
C30,117.3,-116.95,top,180
C31,117.85,-110.6,top,180
C32,110.77,-112.15,top,0
C34,126.2875,-124.825,top,180
C35,126.2875,-123.625,top,180
C36,126.3,-122.35,top,180
C38,137.6,-107.6,top,0
C39,136.7,-120.98,top,90
IC1,126.888,-112.45,top,90
J1,138.25,-130.1,top,-90
J2,147.675,-118.25,top,90
J4,131,-74.4,top,180
J5,148.15,-89.7,top,-90
J6,128.15,-129.9625,top,-90
L1,107.25,-105.5,top,180
R1,108.65,-96.95,top,90
R2,129.55,-126.7,top,0
R3,131.7,-126.7,top,180
R4,126.25,-121,top,180
R5,109.85,-96.95,top,-90
R6,137.95,-82.28,top,90
R7,136.85,-82.28,top,90
R8,108.4,-115.65,top,90
R9,135.35,-118.1,top,90
R14,136.19,-116.25,top,180
R15,135.75,-82.28,top,90
R16,134.65,-82.28,top,90
R17,133.55,-82.28,top,90
R18,132.45,-82.28,top,90
R19,131.35,-82.28,top,90
R20,130.25,-82.28,top,90
R21,129.15,-82.28,top,90
R22,128.05,-82.28,top,90
R23,126.95,-82.28,top,90
R24,125.9,-82.29,top,90
R25,124.85,-82.29,top,90
R26,123.75,-82.29,top,90
R27,122.65,-82.29,top,90
R28,121.55,-82.29,top,90
U1,107.4,-100,top,0
U4,131.0875,-122.9,top,90
U5,107.45,-112.8,top,0
X1,137.1,-118.3,top,180
